wellid,year,sampledate,daynum,ph,ph_bubbled,cond,alk,dic,doc,no3no2,nh4n,totn,totp,drsi,brsi,cl,so4,ca,mg,na,k,fe,mn,flagph,flagph_bubbled,flagalk,flagdic,flagdoc,flagno3no2,flagnh4n,flagtotn,flagtotp,flagdrsi,flagbrsi,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
"K1",2000,2000-11-29 00:00:00,303,4.98,5.68,29,56,4.09,1.45,1.0,234,443,9,1141,1067,0.73,6.32,1.23,0.62,0.71,0.86,2.31,0.03,,,,,,,,,,,,"E","E","E","E","E","E","E","E"
"K1",2001,2001-11-05 00:00:00,309,5.46,6.27,32,-7,0.75,2.25,11.0,366,174,7,1180,1157,0.78,7.42,1.33,0.56,0.77,0.84,2.48,0.04,,,,,,,,,,,,,,,,,,,
"K1",2002,2002-10-28 00:00:00,301,5.51,6.19,56,-47,1.01,2.50,1.0,410,216,10,1218,1130,0.60,7.63,1.29,0.60,1.21,1.34,2.50,0.04,,,,,,,,,,,,,,,,,,,
"K1",2003,2003-10-09 00:00:00,282,5.70,6.58,27,83,2.46,3.16,2.0,245,344,4,1156,,0.48,3.18,0.88,0.38,1.08,0.59,2.33,0.03,,,,,,,,,,,,"E","E",,,,,,
"K1",2004,2004-10-20 00:00:00,294,5.54,6.77,27,,,,2.0,330,284,2,1180,,0.24,1.43,1.06,0.48,0.84,0.53,2.97,0.04,,,"C","D","D",,,"E","E","E",,"E","E",,,,,,
"K1",2005,2005-11-03 00:00:00,305,5.92,6.63,18,13,2.52,2.69,3.0,98,214,3,972,,1.16,2.56,0.63,0.26,0.71,0.40,1.62,0.02,,,,,,,,"E","E",,,,,,,,,,
"K1",2006,2006-10-10 00:00:00,283,5.61,6.42,49,36,4.90,2.37,6.0,17,272,1,1185,,1.12,13.22,1.29,0.62,0.68,0.52,4.31,0.04,,,,,,"E","E",,,"E",,"E","E",,,,,,
"K1",2007,2007-11-01 00:00:00,305,5.86,6.85,41,-61,4.99,1.54,1.0,149,191,3,1254,,0.61,14.17,1.50,0.69,1.44,0.49,4.20,0.04,,,"N",,,,,,,,,"E","E",,,,,,
"K1",2008,2008-10-28 00:00:00,302,5.43,6.46,50,-1,3.25,2.26,8.0,12,2,165,1226,,1.30,10.63,1.54,0.67,2.62,0.46,2.83,0.03,,,,,,,,,,,,,,,,,,,
"K1",2009,2009-11-02 00:00:00,306,,,,,,,,,,,,,,,,,,,,,"C","C",,,,,,,,,,,,,,,,,
"K1",2010,2010-10-18 00:00:00,291,4.85,5.28,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1",2011,2011-11-07 00:00:00,311,5.55,6.45,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1",2012,2012-11-12 00:00:00,317,5.62,6.78,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1",2013,2013-10-23 00:00:00,296,5.42,6.71,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K10",1984,1984-11-07 00:00:00,312,5.67,,,173,,,3.4,11,,,5196,,0.43,11.88,3.66,1.23,2.73,0.89,,,,,,,,,,,,,,,,,,,,,
"K10",1985,1985-03-16 00:00:00,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K10",1985,1985-06-01 00:00:00,152,5.73,,,190,,,2.9,5,,,5055,,0.34,7.59,3.36,0.99,2.28,0.75,,,,,,,,,,,,,,,,,,,,,
"K10",1985,1985-08-22 00:00:00,234,,,,,,,3.7,10,,,5014,,0.33,7.51,2.81,0.86,,0.80,,,,,,,,,,,,,,,,,,,,,
"K10",1985,1985-11-16 00:00:00,320,5.68,,,153,,,2.3,18,,,5160,,0.38,10.98,3.75,1.19,1.69,0.85,,,,,,,,,,"E","E",,,,,,,,"E",,
"K10",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K10",1986,1986-05-13 00:00:00,133,5.76,,,177,,,2.5,6,,,4800,,0.48,10.39,4.22,1.25,1.68,0.80,,,,,,,,,,,,,,,,,,,,,
"K10",1986,1986-09-03 00:00:00,246,5.89,,,143,,,2.3,4,,,4955,,0.53,10.27,3.41,1.03,1.22,0.54,,,,,,,,,,,,,,,,,,,,,
"K10",1986,1986-11-05 00:00:00,309,5.82,,,120,5.80,1.70,,,,,5222,,0.51,10.56,3.51,1.16,1.78,0.79,,,,,,,,,,,,,,,,,,,,,
"K10",1987,1987-11-16 00:00:00,320,5.79,,,,8.79,1.50,,,,,,,0.37,12.20,3.31,,3.14,0.98,,,,,,,,,,,,,,,,,,,,,
"K10",1988,1988-10-27 00:00:00,301,5.84,,42,147,11.00,1.26,5.0,8,0,0,5309,4488,0.34,9.19,2.94,0.94,3.82,0.93,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K10",1989,1989-10-24 00:00:00,297,5.82,,47,149,5.74,3.50,6.0,9,40,4,5314,5195,0.59,10.14,3.41,1.06,3.14,0.92,0.00,0.00,,,,,,"G","G","E","E",,,,,,,,,,
"K10",1990,1990-11-15 00:00:00,319,5.76,,52,165,9.58,2.20,2.0,11,71,10,5305,5371,0.73,10.97,3.79,1.19,2.79,1.16,0.00,0.00,,,,,,,,"E","E",,,,"E",,"H",,,,
"K10",1991,1991-10-23 00:00:00,296,5.61,,129,111,6.67,4.27,2.0,3,60,0,5490,5439,1.74,40.36,12.10,3.61,,1.63,0.00,0.04,,,,,,,,,,,,,,,"M",,,,
"K10",1992,1992-12-15 00:00:00,350,5.71,,69,113,7.25,2.48,5.0,18,47,5,5436,5383,0.97,19.87,6.00,1.94,2.41,1.12,0.00,0.00,,,,,,"G",,"E","E",,,,"B",,,,,,
"K10",1993,1993-11-29 00:00:00,333,5.75,,64,118,7.36,2.31,0.0,10,28,14,5481,5412,0.77,16.96,,,,,,,,,,,,,,,,,,"E",,,,"D","D","D","D"
"K10",1994,1994-12-20 00:00:00,354,5.70,,,165,5.42,2.00,3.0,27,49,4,5203,5070,0.54,10.78,4.64,1.56,1.82,1.03,0.00,0.00,,,,,,,,,,,,,,,,,,,
